,comp_id,top3
25323,2489679,"[2488583, 2489679, 2503806, 2534054]"
25324,2489681,"[2489681, 2492978, 2507674, 2530104]"
25325,2489682,"[2489682, 2503628, 2518578, 2536149]"
25326,2489685,"[2489685, 2494307, 2506469, 2515665]"
25327,2489687,"[2489687, 2506235, 2514153, 2525439]"
25328,2489689,"[2489689, 2493467, 2504179, 2525134]"
25329,2489693,"[2489693, 2518031, 2524842, 2536176]"
25330,2489695,"[2489555, 2489695, 2501904, 2519529]"
25331,2489705,"[2489705, 2501009, 2534694]"
25332,2489706,[2489706]
25333,2489708,"[2489708, 2507510, 2507614, 2522201]"
25334,2489710,"[2489616, 2489710, 2510996, 2531535]"
25335,2489712,"[2489712, 2495574, 2517616, 2530465]"
25336,2489716,"[2489716, 2512869, 2535145, 2535921]"
25337,2489717,"[2489027, 2489717, 2507769, 2527047]"
25338,2489734,"[2489734, 2490737, 2516831, 2528094]"
25339,2489738,"[2489738, 2505340, 2512127, 2525707]"
25340,2489739,"[2489739, 2490349, 2513576, 2532394]"
25341,2489742,[2489742]
25342,2489743,"[2489743, 2494230, 2498412, 2508482]"
25343,2489748,"[2489748, 2494803, 2516653, 2531941]"
25344,2489749,"[2489749, 2506340, 2520160, 2520849]"
25345,2489750,"[2489750, 2495511, 2498994, 2530720]"
25346,2489758,"[2489758, 2490905, 2516596, 2516899]"
25347,2489760,"[2489760, 2518569, 2530853, 2535568]"
25348,2489766,"[391406, 2489766, 2529110]"
25349,2489770,[2489770]
25350,2489771,"[2489771, 2508381, 2510399, 2517576]"
25351,2489772,"[2489529, 2489772, 2527999, 2528819]"
25352,2489773,"[2489773, 2511155, 2511817, 2534062]"
25353,2489778,"[2489778, 2504448, 2511998, 2519115]"
25354,2489781,"[45838, 271998, 2489781]"
25355,2489782,"[2489782, 2506896, 2509079, 2523233]"
25356,2489783,"[2487793, 2489783, 2502439, 2510139]"
25357,2489786,"[2489786, 2505022, 2507387, 2509499]"
25358,2489792,"[1759479, 2488058, 2489792, 2536007]"
25359,2489793,[2489793]
25360,2489794,"[2489794, 2490111, 2510656, 2524144]"
25361,2489803,"[2489803, 2498864, 2513105, 2529125]"
25362,2489804,"[2489373, 2489804, 2515032, 2528311]"
25363,2489816,"[2489816, 2499537, 2504612, 2522036]"
25364,2489818,"[2489818, 2495933, 2514106, 2525377]"
25365,2489819,"[2489355, 2489819, 2503212, 2533190]"
25366,2489824,"[2489824, 2498835, 2511102, 2527006]"
25367,2489825,"[2489825, 2512909, 2518093, 2536720]"
25368,2489833,"[2083573, 2489833, 2526040, 2535963]"
25369,2489843,"[2489843, 2501187, 2526169, 2532094]"
25370,2489844,"[2489844, 2489958, 2509173, 2510508]"
25371,2489845,"[2489845, 2490668, 2506700, 2516472]"
25372,2489848,"[2489848, 2498635, 2501698, 2520883]"
25373,2489854,"[2489854, 2490249, 2493207, 2504933]"
25374,2489855,"[2489855, 2496968, 2504405, 2517028]"
25375,2489860,"[2489860, 2490546, 2507775, 2512108]"
25376,2489862,"[2489862, 2495971, 2520367, 2521216]"
25377,2489865,"[2489865, 2491102]"
25378,2489867,"[2488182, 2489867, 2505682, 2530168]"
25379,2489868,"[2489868, 2495620, 2504844, 2512906]"
25380,2489872,"[2489872, 2495096, 2522936, 2532018]"
25381,2489876,"[2489876, 2490005, 2490859, 2510458]"
25382,2489877,[2489877]
25383,2489878,[2489878]
25384,2489879,"[2488826, 2489879, 2496223, 2509152]"
25385,2489890,"[691942, 2489890, 2516195, 2536628]"
25386,2489892,"[2488196, 2489892, 2513321, 2533418]"
25387,2489893,"[2489893, 2494148, 2503208, 2521303]"
25388,2489899,"[2299263, 2489899, 2496558, 2523792]"
25389,2489909,"[2474935, 2489909, 2503061, 2517336]"
25390,2489911,"[2489911, 2513251, 2523711, 2526088]"
25391,2489913,"[2372422, 2489913, 2505077, 2508333]"
25392,2489915,"[2489915, 2519996, 2529907, 2532548]"
25393,2489918,"[2489918, 2500791, 2522450, 2524201]"
25394,2489921,"[2489921, 2498717, 2503390, 2512218]"
25395,2489923,"[2489923, 2505090, 2510008, 2510973]"
25396,2489927,"[2489927, 2507220, 2516109, 2530843]"
25397,2489930,"[2489930, 2492331, 2499359, 2523378]"
25398,2489935,"[2488197, 2489935, 2503240, 2511975]"
25399,2489945,"[2489945, 2505655, 2506651, 2520334]"
25400,2489950,"[2489950, 2501096, 2508633, 2525428]"
25401,2489955,"[2489142, 2489955, 2499399, 2510481]"
