,chembl_id,molregno,chembl-name,smiles
1960,CHEMBL42,2261,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
1961,CHEMBL445,2262,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
2232,CHEMBL43,2580,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
2282,CHEMBL44,2658,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
2353,CHEMBL276473,2749,4'-HYDROXYCHALCONE,O=C(/C=C/c1ccccc1)c1ccc(O)cc1
2402,CHEMBL429023,2812,ROTENONE,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
2440,CHEMBL7917,2866,TYRPHOSTIN AG-1478,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
2568,CHEMBL45,3012,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
2722,CHEMBL46,3183,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
3041,CHEMBL8412,3587,IPSAPIRONE,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
3199,CHEMBL52,3784,NORDIHYDROGUAIARETIC ACID,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
3252,CHEMBL8039,3847,,C=C/C=C1\C=C(C)C2(CC2)C(C)(O)C1=O
3253,CHEMBL274328,3848,,C/C=C1\C=C(C)C2(CC2)C(C)(O)C1=O
3258,CHEMBL53,3854,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
3262,CHEMBL54,3859,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
3350,CHEMBL55,3965,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
3374,CHEMBL8771,3998,NEOPLANOCIN A,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O
3510,CHEMBL56,4149,8-OH-DPAT,CCCN(CCC)C1CCc2cccc(O)c2C1
3617,CHEMBL8514,4259,BUTACLAMOL,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
3697,CHEMBL268871,4344,L-697661,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C
3721,CHEMBL8739,4370,LINOLENIC ACID,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
3833,CHEMBL465,4496,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
3841,CHEMBL58,4504,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
3956,CHEMBL267930,4634,SPIPERONE,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
4048,CHEMBL61,4775,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
4086,CHEMBL9212,4843,,CCN(CC)C(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
4108,CHEMBL63,4872,ROLIPRAM,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
4208,CHEMBL267048,5015,,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc(F)c(F)c2)n2nnc3ccccc32)cc1
4209,CHEMBL267488,5016,,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)(c2ccccc2)n2nnc3ccccc32)cc1
4218,CHEMBL468,5028,THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
4231,CHEMBL9139,5043,,CCCN(CCC)C(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
4237,CHEMBL8736,5049,,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2CC(=O)N(C)C2CCCCC2)cc1
4258,CHEMBL276647,5076,,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1
4271,CHEMBL267695,5089,,CCCCN(C)C(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
4280,CHEMBL266354,5098,,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2CC(=O)N(CC(C)C)CC(C)C)cc1
4286,CHEMBL65,5105,CAMPTOTHECIN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
4323,CHEMBL267761,5143,,CCCCNC(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
