cell_id,cell_top10,value_top10
450,"[646, 797, 405, 633, 623, 1215, 641, 1212, 786]","[0.9040045442135864, 0.8968110368209476, 0.895795078852395, 0.8956045956991447, 0.889079219222716, 0.8881436545399884, 0.8873138363916508, 0.8838241656195869, 0.8817569680732049]"
1508,"[1232, 1466, 1231, 1477, 1663, 1235, 1507, 1234, 1219, 1216]","[0.8979398701078782, 0.8951814771816651, 0.8935899719239561, 0.8890394909611676, 0.8819257894075919, 0.8814795448625723, 0.8797066808800985, 0.8796549135397566, 0.8783920990879711, 0.8758550962313201]"
1611,"[651, 1434, 1501, 633, 1352, 1220, 1575, 641, 1573]","[0.8767199608926476, 0.8725331689830782, 0.8718074565834392, 0.8671827859421589, 0.8668038182694909, 0.8655067368213787, 0.8639740244875396, 0.8631500908054243, 0.8630181996761541]"
1510,"[796, 1443, 1503, 1471, 1441, 1523, 1572, 623, 1232]","[0.8549252917754895, 0.8532770299573331, 0.853171998538148, 0.8528566683266019, 0.848583276464555, 0.8408934712050252, 0.8289419339071677, 0.828404618057675, 0.827285859931134]"
407,"[651, 1501, 1573, 646, 1220]","[0.8754674729256464, 0.8640319900819405, 0.8601735099384864, 0.8550950055124321, 0.8536225574077124]"
1466,"[1508, 1232, 1477, 690, 1231, 1476, 1663, 1384]","[0.8951814771816651, 0.8863418199894081, 0.8770795031326063, 0.8766078112247172, 0.8742955779005269, 0.8719455041052365, 0.870766790966613, 0.8701482499400163]"
189,"[565, 641, 642, 562, 786, 690, 495, 797, 633]","[0.9005930259548113, 0.8987437023939694, 0.8972501151975002, 0.8907666697198936, 0.8843683050140193, 0.8813219134699006, 0.8809228427238252, 0.8713842945556413, 0.869995703017242]"
1612,"[622, 778, 1349, 1475, 714, 797, 623, 633, 1477, 1215]","[0.8605226800563142, 0.8570484242708571, 0.84707041781463, 0.842317009717878, 0.8411567854035087, 0.8386451191293037, 0.8377034997862152, 0.8331681329312388, 0.8305032172886299, 0.8295937206322295]"
1036,"[331, 1038, 622, 623, 165, 633, 641, 651]","[0.954228255333614, 0.9349278293306112, 0.8455403881156448, 0.8414251617456864, 0.8401180014235186, 0.8398620660382659, 0.8387993274183301, 0.8387507940417468]"
1038,"[1036, 331, 623, 165, 633, 797, 622, 641, 646]","[0.9349278293306112, 0.9213088477030672, 0.836709317699109, 0.8334228846908158, 0.8311959109330179, 0.8308295838354958, 0.8296403137739057, 0.8289742729056614, 0.8278977649132362]"
45,"[373, 372, 1229, 365, 633, 634, 690, 797, 623, 1232]","[0.8946340222228696, 0.8879457656490892, 0.8844745553084145, 0.8806154462910628, 0.8801027777687649, 0.8791781654918993, 0.8788931569404387, 0.8776866473653744, 0.8768443566003151, 0.8766987190886957]"
331,"[1036, 1038, 622, 651, 646, 641, 623, 786]","[0.954228255333614, 0.9213088477030672, 0.8543476163228739, 0.8520490698933257, 0.8496420978574901, 0.8489173568363648, 0.8464806717167371, 0.8464722815151172]"
564,"[1573, 1511, 412, 651, 641]","[0.9026144381297896, 0.9023849893411804, 0.899392037177176, 0.8867963113402078, 0.8852376134705705]"
1434,"[1501, 651, 1573, 1220, 646, 641]","[0.9026423594807176, 0.8946998004207715, 0.8945177370694389, 0.8882443226471852, 0.8869626760999137, 0.88535742323875]"
714,"[1349, 1475, 1232, 778, 1476, 623, 1477, 622, 633]","[0.9073073167377634, 0.899737807369713, 0.8981653098954473, 0.8931100262154749, 0.8876451194753961, 0.8867996793054296, 0.8834918435890541, 0.8834092250699499, 0.8803157733496535]"
1444,"[1352, 651, 1573, 623, 1441, 165, 797, 646, 641]","[0.885460000024476, 0.8798352419880455, 0.8793656729385398, 0.8776996980644572, 0.8771589201721907, 0.8769102458914477, 0.8762803520762045, 0.8758622885204079, 0.8749496875408888]"
1238,"[302, 1382, 623, 973, 1223, 797, 633, 405, 1221, 651]","[0.9222418461277044, 0.9034919192189952, 0.895988959855846, 0.8956533377455593, 0.8927891421277981, 0.8922731372670408, 0.8921618237238073, 0.8894519213991325, 0.8886720033816542, 0.8869705998028266]"
60,"[623, 651, 797, 646, 1444, 786, 973]","[0.8231491733601454, 0.821507875625387, 0.8187727139960468, 0.815945963335202, 0.8137746737198202, 0.8117029571152734, 0.8093904963749583]"
1511,"[412, 1504, 346, 564, 1577, 1445, 991]","[0.9218481360257554, 0.9213246436456856, 0.9098169070197948, 0.9023849893411804, 0.8876829606635495, 0.8854135417935874, 0.8845049082870999]"
1512,"[500, 973, 1501, 651, 1215, 1573, 641, 1220, 1240, 623]","[0.8654486935332543, 0.8531982035560037, 0.8523359221935765, 0.8504748900768665, 0.8483996466006968, 0.8477373255593803, 0.845753514386647, 0.8445128396374956, 0.8434906890741772, 0.8431503279145565]"
1387,"[1235, 1507, 1231, 714, 1351, 1380, 1523, 1576, 1232, 1245]","[0.8903435553193438, 0.8867539045703791, 0.876866914131217, 0.8679543188022756, 0.8611698573297413, 0.8570925697698107, 0.856333454765338, 0.8558831460094808, 0.8558786605584117, 0.8510170630079275]"
565,"[641, 562, 642, 786, 495, 1436, 646, 651, 189]","[0.9447684634169392, 0.9390198918754392, 0.9328295369659002, 0.9292503269709268, 0.9138118322127988, 0.9100954149440306, 0.9017532561858624, 0.9013787926064816, 0.9005930259548113]"
667,"[1239, 633, 1620, 1212, 566, 405, 797, 623, 646]","[0.9148728877077438, 0.8983350272835421, 0.8957106151721251, 0.894168085708297, 0.8924164252650231, 0.8911479080689935, 0.8879780605699344, 0.8760776355703582, 0.875933959920162]"
1620,"[1239, 667, 566, 1212, 633, 405, 797, 1232, 1215]","[0.913548554490686, 0.8957106151721251, 0.887379787953407, 0.8611414870438758, 0.8534650173108771, 0.8519813683293231, 0.8411015033889768, 0.8332056324244762, 0.8331012831820959]"
1239,"[566, 667, 1620, 1212, 633, 405, 797, 1215, 1232]","[0.9274138105998068, 0.9148728877077438, 0.913548554490686, 0.8989233976068659, 0.8951421125343528, 0.8934748812553034, 0.8815302151006369, 0.8772131558800058, 0.8676893428402688]"
566,"[1239, 667, 633, 1620, 405, 1212, 797, 1215, 646]","[0.9274138105998068, 0.8924164252650231, 0.8875862833086758, 0.887379787953407, 0.8852065040186029, 0.8809603402768158, 0.8747430517032531, 0.8701404917691756, 0.8594728660338956]"
1577,"[346, 1533, 1511, 1445, 1471, 796, 1504]","[0.9076981388662227, 0.8913037376746437, 0.8876829606635495, 0.8873108903277096, 0.8822377937258541, 0.8781185229723805, 0.8775538257942389]"
1240,"[1221, 1394, 1382, 1354, 309, 633, 500, 1217, 1238, 405]","[0.8925182250263596, 0.8836251955903048, 0.8827721016035188, 0.8801580115299019, 0.8788849107772796, 0.8745803956051121, 0.8727256509870581, 0.8715844454926194, 0.8715482112424913, 0.8714155345976475]"
134,"[1501, 646, 651, 726, 786, 495, 1220, 1436, 641, 1575]","[0.8668471521399775, 0.8536965362682333, 0.8519635468918979, 0.8513352557198163, 0.8506152686123913, 0.8504387055698819, 0.84852609555615, 0.8457437387799016, 0.8405143280388931, 0.8390662904258641]"
766,"[1424, 1019, 478, 460, 1576, 1243, 1228]","[0.8728864007834991, 0.8698706959005819, 0.869319716229693, 0.8641239481597516, 0.8527223610594681, 0.840930961983836, 0.8398595726363874]"
408,"[377, 1506, 646, 641, 786, 651, 1436, 633, 797]","[0.9168315626718784, 0.9132427404528838, 0.8893785636414796, 0.8842869155305415, 0.8833906329838032, 0.8781802699623937, 0.876025567220748, 0.8744823671662685, 0.8743607711806665]"
1621,"[1225, 1228, 789, 669, 1379, 784, 137, 1351, 1219]","[0.9208252060437796, 0.9198740548875712, 0.910477864638207, 0.8977138513092304, 0.8956819773999863, 0.8919485353482518, 0.8891267636193054, 0.8888812267607582, 0.886909579258575]"
288,"[408, 377]","[0.8290623087765577, 0.8087420059827054]"
1445,"[1468, 346, 1577, 1511, 623, 1232, 1471]","[0.9268145420511894, 0.902993567891468, 0.8873108903277096, 0.8854135417935874, 0.8843078980029155, 0.8829324117889309, 0.8789461537583775]"
1468,"[1445, 346, 1577, 1511, 1504, 623, 564]","[0.9268145420511894, 0.8976496292713249, 0.8702130616352777, 0.8694225676174473, 0.8599000485880978, 0.8534356961709729, 0.85309849526849]"
487,"[651, 1501, 646, 1220, 500, 622, 641, 1393, 786, 1434]","[0.8718646789182101, 0.8712232973215335, 0.8566493464349139, 0.8559451521815777, 0.8550302235618648, 0.8548679949171577, 0.8547703493212037, 0.8537129366066523, 0.8536991658126221, 0.8527101679967866]"
1351,"[1225, 1231, 1228, 1621, 1663, 1379, 1232, 1424, 1243]","[0.9021762987830526, 0.8956355355459866, 0.8898514626474004, 0.8888812267607582, 0.8879088908330177, 0.8869889187173157, 0.8830712358845672, 0.8789859247585238, 0.8759601132047735]"
1243,"[1424, 1576, 1351, 478, 1245, 1507, 1663, 1508]","[0.9375456381793238, 0.878143845551011, 0.8759601132047735, 0.8626636935089517, 0.8617321698216103, 0.861267060936123, 0.8587132061792176, 0.8582032965332635]"
1424,"[1243, 478, 1576, 1351, 1019, 1621, 1225]","[0.9375456381793238, 0.8920718681416969, 0.8868870136685919, 0.8789859247585238, 0.8768360572886806, 0.8759096258290563, 0.8756206941071965]"
1244,"[1448, 1583, 1447, 1232, 1477, 1508, 714, 1476]","[0.8473847221902913, 0.8432030936449469, 0.8406734517943109, 0.8380488658096878, 0.8352544271081953, 0.8340285799483067, 0.8287746715677436, 0.8279629458686917]"
1470,"[1471, 1441, 796, 1577, 1443, 1511, 623, 346]","[0.8826167436470795, 0.879886897111183, 0.8756276793371333, 0.8711867296578052, 0.8668158298985231, 0.8648045069927816, 0.8644453186914608, 0.8596319972853332]"
666,"[646, 651, 1501, 786, 641, 42, 726, 1436, 500]","[0.8825706333395037, 0.8745208489981343, 0.8725397876247599, 0.8716415838605301, 0.8697151952145646, 0.8678920578532966, 0.8651699338010037, 0.8641133271489478, 0.8638043032379825]"
568,"[304, 1207, 725, 651, 405, 646, 641, 797, 633]","[0.8877003991159249, 0.8757470659360104, 0.8652899407985312, 0.8650204432197471, 0.8544839394395002, 0.8529476316054718, 0.8520121090402656, 0.8510158098173058, 0.8500754228982459]"
616,"[668, 469, 690, 633, 789, 405, 797, 641, 646]","[0.9528049617393984, 0.9409224063183316, 0.9188851898350272, 0.8845706616719667, 0.8806426766653668, 0.880495639932586, 0.8798289338554932, 0.8776613439496159, 0.8763112603343725]"
1471,"[796, 1572, 1443, 1523, 1441, 623, 1232, 1470, 1577]","[0.910763793352025, 0.9094829710482378, 0.894377783298868, 0.8922254238221449, 0.8902705376083171, 0.8863526102614712, 0.8862129476405693, 0.8826167436470795, 0.8822377937258541]"
796,"[1443, 1471, 1441, 623, 1475, 1572, 165, 1523]","[0.9192789457110826, 0.910763793352025, 0.8999079519765213, 0.8859238808949113, 0.882539946910847, 0.8824692983481986, 0.8801747785713508, 0.8797352958108433]"
160,"[646, 786, 641, 651, 1501, 1436, 565, 623, 726, 500]","[0.8385006276449043, 0.8351525254448281, 0.8339438037778453, 0.8323056274264079, 0.831837739310339, 0.8250063668889788, 0.8225803362551879, 0.8225464402755509, 0.819864579039862, 0.8187674177631066]"
1446,"[165, 623, 651, 1352, 797, 646, 641, 633, 405]","[0.9140932452135346, 0.8981576067704444, 0.8833669425789672, 0.8796847735719037, 0.8759415273532858, 0.8757741732682501, 0.8742272737450443, 0.8737444717626488, 0.8711648809855095]"
1447,"[1448, 1244, 1583, 1508, 1507, 1477, 1245, 1232, 1231]","[0.8909082851643838, 0.8406734517943109, 0.8295737819991771, 0.810291059525006, 0.8100678035199044, 0.8093218863041955, 0.8066482949027007, 0.8047525476451411, 0.8039975192934018]"
1448,"[1447, 1244, 1232, 1583, 165, 623, 1477, 1508, 1663]","[0.8909082851643838, 0.8473847221902913, 0.836306506764908, 0.8339376712523123, 0.833668220209093, 0.8329828239297609, 0.8326633547177605, 0.8326541094710237, 0.8252260380258309]"
1245,"[1477, 1508, 1507, 1243, 1231, 1235, 1232, 1663]","[0.8666320914212876, 0.8662145646590562, 0.8631583909294017, 0.8617321698216103, 0.8600582267054585, 0.8593373601183174, 0.8568982487279607, 0.8532373721280184]"
137,"[1228, 784, 669, 789, 1621, 1225, 1379, 630, 1351]","[0.9031185593044434, 0.8977899808390601, 0.894967131632645, 0.8909237028883582, 0.8891267636193054, 0.8850059726592838, 0.8820435152321656, 0.8782434358422627, 0.8731876576366033]"
302,"[1382, 1238, 973, 1221, 500, 1223, 309, 1394, 651, 646]","[0.9279809073765504, 0.9222418461277044, 0.8923235209188574, 0.8918428803952079, 0.8895356932490498, 0.8858485504544586, 0.8834390944678387, 0.8816621057841572, 0.8808188836780885, 0.879951704683125]"
1246,"[1214, 1346, 1209, 1383, 367]","[0.9227084868718468, 0.9183038962801612, 0.8949712279356277, 0.8802301631698112, 0.8778449696944892]"
1475,"[714, 623, 1349, 778, 1477, 1232, 1476, 796, 1215, 450]","[0.899737807369713, 0.8954067758451429, 0.8929474837789355, 0.88946837971946, 0.8859044629566474, 0.885713683533831, 0.8842116590388028, 0.882539946910847, 0.8803477176029779, 0.8793113164810129]"
1476,"[714, 1475, 300, 1232, 623, 1212, 1507, 1477, 690]","[0.8876451194753961, 0.8842116590388028, 0.8837745068977316, 0.880533858294554, 0.8796231192532811, 0.8790812357113369, 0.8787968401639193, 0.8760928094429181, 0.8743567884373166]"
1352,"[651, 623, 165, 633, 641, 797, 1501, 405]","[0.9008915943014296, 0.8965290477691622, 0.8964050641939186, 0.8947327204783235, 0.8930771097029362, 0.8928541536238316, 0.8907581218557887, 0.8904192535484808]"
1523,"[1471, 1232, 796, 1231, 1507, 1443, 714, 1576, 1508]","[0.8922254238221449, 0.8830291293937694, 0.8797352958108433, 0.8756923312196163, 0.8741547084556278, 0.868219941753968, 0.8676009067656272, 0.8669876200483978, 0.8658770143138234]"
647,[299],[0.8671703645203093]
299,"[647, 1501, 1434, 651]","[0.8671703645203093, 0.8103646757815843, 0.803232801759915, 0.8026122594383345]"
1477,"[1508, 1475, 714, 1232, 1349, 1466, 1476, 623, 1507]","[0.8890394909611676, 0.8859044629566474, 0.8834918435890541, 0.8825397635647071, 0.8788572083837152, 0.8770795031326063, 0.8760928094429181, 0.8736515772168237, 0.8727546580487122]"
1622,"[1609, 1385, 1608, 1478, 1444, 623, 165, 797, 633, 651]","[0.8770895044748169, 0.853038095299387, 0.8510350186751928, 0.8499256324782898, 0.8228536440476085, 0.8207934004446839, 0.8176101774219335, 0.8148395404683311, 0.8078926127967447, 0.807335538370587]"
842,"[646, 405, 450, 797, 633]","[0.8093284091733868, 0.806591112529729, 0.8048552076662683, 0.802468919345029, 0.8002131054179825]"
1478,"[1434, 1385, 623, 651, 1501, 1609, 797, 633, 641]","[0.8823846135047201, 0.8781364824058321, 0.8773222397297165, 0.8765115899748773, 0.8759238391886375, 0.8754269858226118, 0.8719322889570432, 0.8707317884795596, 0.8704854664742525]"
1578,"[1476, 1508, 1477, 1231, 1232, 1507, 1466, 1245, 1663, 1234]","[0.843970895400538, 0.8408703623631029, 0.8359910562374085, 0.8330550261741625, 0.8324516407696877, 0.8311910515025167, 0.828978262303381, 0.8267835694670713, 0.8251036347866928, 0.8250169728341318]"
1251,"[1501, 651, 646, 641, 786, 1220, 500, 565, 1436]","[0.8903040457809656, 0.8881152862215735, 0.8833852573607366, 0.8811474682215895, 0.88063330303995, 0.8796298044046278, 0.8779395499703329, 0.8777775452226225, 0.8771478890370604]"
711,"[1220, 1501, 726, 1434, 651, 1251, 1393, 646, 641]","[0.8452621745946038, 0.8331639249377912, 0.8298883508129398, 0.8273271649079851, 0.8273271193172627, 0.8200662099482114, 0.81935240575946, 0.8176770561660583, 0.8127469967258112]"
718,"[632, 564, 1573, 651, 1501, 623, 646]","[0.9158251000593932, 0.8652722562897768, 0.862541554050092, 0.8621830239147366, 0.8579648126444374, 0.8549347565964059, 0.8541676654767402]"
697,"[726, 646, 1501, 786, 500, 651, 1436, 641, 302, 1393]","[0.9051019262555466, 0.8744114359091388, 0.8691093483388502, 0.8690527641866911, 0.8662393793934475, 0.8658951921710759, 0.86411827656506, 0.8637767813511736, 0.8592655027454188, 0.8576026793437235]"
726,"[646, 1220, 697, 786, 1501, 1436]","[0.9146664419356136, 0.9051167667444454, 0.9051019262555466, 0.904971468298092, 0.9018538810973096, 0.9015092915868764]"
1220,"[1501, 726, 651, 646, 1393, 641, 786]","[0.909060594626698, 0.9051167667444454, 0.9002181027991769, 0.895716330855454, 0.8955851458836824, 0.8930812644795257, 0.8915171619968287]"
460,"[1019, 478, 766, 641, 651, 1213]","[0.9411201302787798, 0.8968543779770455, 0.8641239481597516, 0.8637343664905108, 0.8618645273372553, 0.8614442622514069]"
336,"[646, 651, 1501, 173, 633, 405, 1220, 641, 786]","[0.8677077911506458, 0.8591839108990452, 0.8547466964529533, 0.8471211785294077, 0.8445486031852772, 0.8445134788474025, 0.8377010273891663, 0.8374036364627486, 0.8371284131876324]"
649,"[646, 786, 1501, 641, 726, 1436, 651]","[0.9014012732258676, 0.8916636321232813, 0.8905692483004644, 0.8902635868021587, 0.8878920147205908, 0.8878264367191473, 0.8872037632352909]"
1393,"[726, 651, 1501, 1220, 641, 646, 500]","[0.8995587837645121, 0.8980621893811163, 0.8971145713384059, 0.8955851458836824, 0.8897655230021775, 0.8897346495080801, 0.8878209216324715]"
1154,"[651, 455, 1581, 623, 1215, 641, 633, 405, 646]","[0.8602706499466447, 0.8557980501534127, 0.8518568855070091, 0.8493723007496496, 0.846999583412907, 0.8450326834410978, 0.8431272647080242, 0.8423941023895475, 0.8417537114986468]"
1260,"[1394, 1221, 1240, 1217, 1354, 309, 1212, 1232, 714]","[0.8615700290573622, 0.8595543681879043, 0.8559773008981802, 0.8527536923668532, 0.8517664683460527, 0.8443747783277081, 0.8372465044770326, 0.836543443048974, 0.8331682432443054]"
1159,[],[]
668,"[616, 469, 690, 633, 789, 405, 797, 641, 624]","[0.9528049617393984, 0.9372220232349736, 0.9129398746605571, 0.8741175955161964, 0.8705969563389893, 0.8691524322687723, 0.8670929240875112, 0.8658000785193475, 0.8633937583967736]"
469,"[616, 668, 690, 646, 789, 641, 624, 797, 633]","[0.9409224063183316, 0.9372220232349736, 0.9086572356451276, 0.8765577950222163, 0.8734728206020175, 0.8727691771242412, 0.8713230685073751, 0.87001996118593, 0.8691528091795347]"
698,"[163, 651, 1352, 1501, 623, 646, 165, 641, 786, 622]","[0.8956966327324026, 0.8781042176067992, 0.8687745934178663, 0.8675351252793607, 0.8673496209745272, 0.8670784387685915, 0.8651529200275776, 0.8648957604565867, 0.8624677149273234, 0.8611373802158953]"
372,"[365, 1229, 634, 631, 373, 45, 633, 641, 405, 797]","[0.9253149893298084, 0.9214133201442272, 0.9175988388254728, 0.9161115051587556, 0.9058844626567774, 0.8879457656490892, 0.8658585433025346, 0.8642418277726717, 0.8623048619677713, 0.8614666104996304]"
1261,"[564, 1573, 651, 1501, 641, 1220]","[0.8815910359263959, 0.874939302318155, 0.8706350067923693, 0.8700946133518974, 0.8686244664392502, 0.8676815740073698]"
1163,"[641, 786, 495, 651, 565, 623, 1575, 1436, 797, 646]","[0.9051290245756044, 0.902606908445946, 0.9002213031106338, 0.8971416807517468, 0.8953114528631368, 0.893551133593292, 0.8928806590359961, 0.8891928499185463, 0.8883344746802294, 0.8858693263980489]"
669,"[789, 784, 630, 1228, 1225, 1379, 1621, 137, 641]","[0.9571275339370736, 0.9456303400094076, 0.9347449763409972, 0.9203381238228396, 0.91565488387808, 0.9089234572909676, 0.8977138513092304, 0.894967131632645, 0.8915509636044132]"
778,"[622, 1349, 623, 714, 633, 797, 165, 1475, 641, 651]","[0.9228329449151712, 0.8969098745061478, 0.8945008074427274, 0.8931100262154749, 0.8922243541201068, 0.8911006140996103, 0.8904529575429833, 0.88946837971946, 0.8890605621128997, 0.8874681548036637]"
300,"[988, 633, 1476, 797, 778, 405, 456, 690, 641, 623]","[0.8904053985545677, 0.886191487377973, 0.8837745068977316, 0.8812297571798289, 0.880532468421428, 0.8803057534824613, 0.879908078612274, 0.8791412036196916, 0.87814927941921, 0.8777765333971642]"
373,"[1229, 365, 634, 372, 45, 631, 1228, 797, 633]","[0.9251269748858576, 0.912668012008738, 0.907557019618519, 0.9058844626567774, 0.8946340222228696, 0.8943182752559256, 0.8684928988472391, 0.8649336840471422, 0.8634025363067767]"
1354,"[1394, 309, 1221, 1382, 1240, 302, 1217, 500, 1238, 973]","[0.9518089519200836, 0.9510558104273134, 0.9327964402586252, 0.9077279234743424, 0.8801580115299019, 0.8703815229255925, 0.8702736769145063, 0.8638276595519642, 0.8622545415034952, 0.8592792913491379]"
309,"[1394, 1354, 1221, 1382, 302, 1240, 1217, 1238, 500, 973]","[0.9515020468726842, 0.9510558104273134, 0.926202432435065, 0.920989613723443, 0.8834390944678387, 0.8788849107772796, 0.8777256244792528, 0.8722714673132915, 0.8664353903364396, 0.8592587942650979]"
1394,"[1354, 309, 1221, 1382, 1217, 1240, 302, 1238, 973, 500]","[0.9518089519200836, 0.9515020468726842, 0.9360450091732038, 0.9122496242586146, 0.8839477045209003, 0.8836251955903048, 0.8816621057841572, 0.8755314021307116, 0.8649046000607444, 0.8640998153772873]"
1436,"[786, 646, 641, 651, 565, 1501]","[0.969026911237082, 0.916694972905063, 0.9156809610306093, 0.915002890477083, 0.9100954149440306, 0.904377173965921]"
651,"[786, 1436, 1501, 646, 641, 623, 500]","[0.917439494495333, 0.915002890477083, 0.9108077838470624, 0.9101751923986222, 0.9089915329761512, 0.9066770841335374, 0.9051804519410902]"
725,"[304, 1207, 1347, 1216, 633, 405, 623, 797]","[0.9374375755512104, 0.9246502426349248, 0.9181431170346795, 0.8835898227533727, 0.880510168659224, 0.8788436503499464, 0.8784811012217907, 0.8743224208304956]"
304,"[725, 1207, 1347, 568, 1086, 405, 633, 797, 623]","[0.9374375755512104, 0.9149392860052938, 0.8947924212661232, 0.8877003991159249, 0.8876082866275546, 0.8688137421305665, 0.8687486635951678, 0.8648285288242514, 0.8644888111057153]"
1581,"[1219, 455, 623, 797, 633, 405, 165, 1228, 641]","[0.9038206488981833, 0.8971226432216307, 0.8946970526392942, 0.8935836862302962, 0.8931614238794575, 0.8920463234281675, 0.8862809606423265, 0.8825582852684866, 0.8818157271581991]"
786,"[1436, 641, 565, 646, 651, 562, 495, 642]","[0.969026911237082, 0.93553766632701, 0.9292503269709268, 0.924750054122244, 0.917439494495333, 0.9155553544878572, 0.9152811027317734, 0.9132741207020738]"
1262,"[1574, 651, 786, 1436, 797, 1501, 623, 641, 633]","[0.8888644479214732, 0.8871826168571445, 0.8835881393252704, 0.8802253733142539, 0.8765240154287731, 0.875754756468992, 0.8747383191526688, 0.872698095362306, 0.8719101881720379]"
576,[1501],[0.8091397456996678]
672,"[1455, 1213, 646, 651, 784, 786, 1501, 641]","[0.8930398688043325, 0.8771585803535087, 0.8090450660902999, 0.8083416608243013, 0.8076613311863088, 0.8068969987717612, 0.8068358975003241, 0.8061413800717491]"
1086,"[304, 1207, 725, 568, 1347, 646, 624, 797, 641]","[0.8876082866275546, 0.8618434228333081, 0.8573437244781342, 0.8468423175020476, 0.8095801177337704, 0.8065191837550202, 0.8039141327643261, 0.802883343217157, 0.8010314827078681]"
1455,"[1213, 672, 633, 405, 797, 623, 641, 646, 1228]","[0.9305981530637462, 0.8930398688043325, 0.8524818189667247, 0.8506531196277882, 0.8490531125360801, 0.8476272009597069, 0.8472863327387956, 0.8455645347038192, 0.8440321420036857]"
1533,"[1577, 346, 1511, 564, 1445, 1444, 623]","[0.8913037376746437, 0.8713244885021245, 0.8655841064657634, 0.8613182456889, 0.8596771666625229, 0.8541334875507832, 0.8537283956949023]"
690,"[616, 641, 668, 469, 565, 562, 789, 786, 633]","[0.9188851898350272, 0.917131990382638, 0.9129398746605571, 0.9086572356451276, 0.8982367789593446, 0.8960649243728677, 0.8955879363208533, 0.895157860371384, 0.8944422450261682]"
1583,"[1244, 1448, 1447, 1523, 1477, 1502, 796, 1508, 1471, 1232]","[0.8432030936449469, 0.8339376712523123, 0.8295737819991771, 0.8282051422357459, 0.8206149863767093, 0.8190500615046966, 0.8149676936580693, 0.8148548569075419, 0.8144551828732568, 0.814150037538345]"
1695,[1570],[0.8582092968135907]
