cell_id,cell_top10,value_top10
1212,"[633, 405, 1239, 797, 667, 1215, 1232, 450, 1219]","[0.9096040704562424, 0.9036738958243908, 0.8989233976068659, 0.8980451805843003, 0.894168085708297, 0.8881135172822608, 0.8873439875244004, 0.8838241656195869, 0.8824494316883801]"
626,"[498, 624, 391, 448, 1208, 641, 646, 786, 651, 405]","[0.9622808196735402, 0.9496156798896228, 0.940330588236921, 0.936902680702643, 0.9145136121146118, 0.8832753640616995, 0.8822956933559513, 0.877813128094943, 0.8763594823554031, 0.8734643244825382]"
1442,"[641, 646, 623, 786, 797, 1478, 651, 1501, 633, 405]","[0.8753384296239988, 0.8696054778976987, 0.8675889189450298, 0.8656021713542713, 0.864411161930589, 0.8638811665683297, 0.8636808124474494, 0.8613858716925481, 0.8599256783399908, 0.8593002948009751]"
456,"[628, 300, 988, 786, 646, 641, 1436, 1501, 565]","[0.9127954943326512, 0.879908078612274, 0.8668090676594231, 0.863803697189986, 0.8636522876318363, 0.8591323513002593, 0.8590635515587545, 0.8572570092356093, 0.8567474449673139]"
1501,"[651, 646, 1220]","[0.9108077838470624, 0.9091156986151492, 0.909060594626698]"
1213,"[1455, 633, 405, 797, 623, 641, 646, 651, 165, 786]","[0.9305981530637462, 0.8928779261164644, 0.8909124045325432, 0.8901595351925218, 0.887717829040757, 0.8870466358247863, 0.8845088088475903, 0.8833798853824657, 0.8824890186636891, 0.8824567173697466]"
985,"[634, 631, 365, 1229, 1501, 1434, 651]","[0.8449438732007212, 0.8309938988660162, 0.8299138675406036, 0.8189106423843383, 0.815965760818068, 0.8097244591856286, 0.8016911622415772]"
1570,"[1695, 1511, 564, 623]","[0.8582092968135907, 0.8514489260410245, 0.8502697160440663, 0.8500967358145197]"
367,"[1346, 1246, 1214, 1209, 1383]","[0.8867673371789044, 0.8778449696944892, 0.8711799161127091, 0.8526035816673544, 0.8303917559259805]"
365,"[631, 1229, 634, 372, 373, 706, 45, 641, 633]","[0.9667654708873707, 0.9595255509378716, 0.9559719337926388, 0.9253149893298084, 0.912668012008738, 0.9095538110924576, 0.8806154462910628, 0.87145908170198, 0.8691152075627118]"
1502,"[796, 1471, 1443, 1503, 1441, 1577, 1445, 1523, 1510, 1232]","[0.832782851267536, 0.8283396918391315, 0.8279347191861689, 0.8271514818214827, 0.8252920627932352, 0.8252399762685564, 0.8236465740796071, 0.823646449704638, 0.8208770459173146, 0.8194269475229123]"
1379,"[789, 1225, 1228, 669, 630, 784, 1621, 1351, 137]","[0.9192051468961656, 0.918012505545109, 0.916105065127253, 0.9089234572909676, 0.9047616573367208, 0.8996187114168115, 0.8956819773999863, 0.8869889187173157, 0.8820435152321656]"
988,"[300, 641, 633, 646, 405, 456, 623, 797, 651, 786]","[0.8904053985545677, 0.8715051778063172, 0.8706951315293637, 0.8705430219896882, 0.8696005807100956, 0.8668090676594231, 0.8663998787752503, 0.8662632362132341, 0.8650980293143493, 0.8638925708968674]"
1214,"[1346, 1246, 1209, 1383, 367, 633]","[0.9322270782090054, 0.9227084868718468, 0.895792528020608, 0.8854289100858577, 0.8711799161127091, 0.8283752354630737]"
798,"[779, 455, 646, 651, 786, 1501, 641]","[0.9337594334988066, 0.8637762568542485, 0.832046646749836, 0.8262520346147408, 0.8243999462248368, 0.821542246456963, 0.8213989911442164]"
779,"[798, 455, 646, 651, 786, 1501, 641]","[0.9337594334988066, 0.8930962851677633, 0.8531606997647002, 0.846165197409607, 0.8449273303528713, 0.8428703198333188, 0.84055593433645]"
990,[412],[0.8077027761267989]
991,"[623, 1463, 651, 1511, 1573, 165, 646, 1501, 641]","[0.8863079391036348, 0.8859772402542772, 0.885876194198597, 0.8845049082870999, 0.8781756528360346, 0.877349389583468, 0.8768449498992922, 0.876056246543401, 0.8756607026618921]"
1463,"[991, 623, 165, 1511]","[0.8859772402542772, 0.8282533477509392, 0.8277634018801687, 0.823776098902745]"
446,"[784, 630, 669, 789, 646, 641, 786, 651, 1501, 1436]","[0.8808143302373944, 0.8795094061892567, 0.873992444709786, 0.8640897550833749, 0.8567469031247865, 0.8502989436891926, 0.8495149042014369, 0.8468972854341631, 0.8456363344449898, 0.841002113451815]"
1503,"[1441, 623, 796, 797, 633, 1573, 1443, 1471, 651, 165]","[0.8880731295315465, 0.8771328059394891, 0.8735251164132565, 0.8734613384942752, 0.8729086041886656, 0.8701274765832248, 0.8697691916994172, 0.8697466585731721, 0.8695121616363328, 0.8693863103868128]"
1573,"[564, 651, 1501]","[0.9026144381297896, 0.8989253209932883, 0.8953417365092168]"
