comp_id,top3,id_29,pref_name,smiles
7499,"[7499, 15453, 6201]",365281,DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
7614,"[36974, 36356, 36975]",368083,BENZETHONIUM CHLORIDE,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
7621,"[21553, 22989, 7723]",368484,,Oc1ccc(CCl)c2cccnc12
7753,[],374669,,Nc1ccc(CC2CCc3cc(O)ccc3C2=O)cc1
7920,"[8556, 7919, 45994]",379075,"2,6-DIAMINOPURINE",Nc1nc(N)c2nc[nH]c2n1
8179,"[9672, 9679, 9680]",387891,,NC[C@@H]1C[C@@H]1C(=O)O
8382,"[37743, 31478, 8383]",397731,CARBOCYSTEINE,N[C@@H](CSCC(=O)O)C(=O)O
8428,"[35046, 21647, 10217]",400284,,NCc1ccc2ccc3cccc4ccc1c2c34
8429,"[2662, 9130, 12665]",400291,,NCCCCNCc1ccc2ccc3cccc4ccc1c2c34
8935,"[37834, 37649, 46220]",420212,ARTENIMOL,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4
9045,"[9045, 3601, 30353]",425372,TILARGININE,CNC(=N)NCCC[C@H](N)C(=O)O
9075,"[19817, 9073, 4430]",426778,,COc1ccc2nc(NS(=O)(=O)c3ccccc3)sc2c1
9211,"[9211, 12084, 15447]",433015,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
9212,"[14071, 14084, 14087]",433091,,CCCCCc1cc[n+](CCCCCCCCCCCC[n+]2ccc(CCCCC)cc2)cc1
9686,"[3630, 9686, 20656]",449953,DIHYDROSPINGOSINE,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
9796,[],452468,TRICHLORMETHINE,ClCCN(CCCl)CCCl
9829,"[23297, 46945, 46948]",454365,PITOLISANT,Clc1ccc(CCCOCCCN2CCCCC2)cc1
10240,"[10240, 15841, 33377]",469690,LEVOTHYROXINE,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
10707,[],487580,DEOXYNIVALENOL,CC1=C[C@H]2O[C@@H]3[C@H](O)C[C@@](C)([C@]34CO4)[C@@]2(CO)[C@H](O)C1=O
11406,[],514992,,Brc1ccc(C[N+]23CN4CN(CN(C4)C2)C3)cc1
11483,"[30399, 1034, 2313]",518120,,OCCCNc1ccnc2cc(Cl)ccc12
11600,"[27999, 28001, 28000]",521991,,CCNCc1nc2c3ccccc3ncc2n1CC(C)(C)O
12715,"[12715, 8429, 2662]",547847,,NCCCCNCCCCNCc1ccc2ccc3cccc4ccc1c2c34
12791,"[32824, 12701, 12704]",552193,,CCN(CC)CCC(=O)c1ccccc1
13563,[],582945,SODIUM DIMETHYLCARBAMODITHIOATE,CN(C)C(=S)[S-]
13655,"[24661, 12279, 13961]",584466,,COc1cc2nc(Nc3ccc(F)cc3)nc(N)c2cc1OC
13680,[],584803,,C[n+]1ccc(C=Cc2ccc(O)cc2)cc1
13694,[],584945,,CCc1cc2c(NCCN3CCCCC3)ncnc2s1
13708,[],585117,,Cc1cc(C)c(CSC(=N)N)c(C)c1CSC(=N)N
