,compound_id,cell_id,active
33799,241759,638,-1
33800,241826,638,-1
33802,241795,638,-1
33803,241407,638,-1
34122,2168,638,-1
34137,2110,638,-1
34506,1627463,638,-1
34507,1627711,638,-1
34508,1627677,638,-1
34539,1551,638,-1
34540,231418,638,-1
34541,231420,638,-1
34666,128302,1023,-1
34667,2038597,1023,-1
34668,128648,1023,-1
34669,128040,1023,-1
34831,105122,635,-1
35451,101322,635,-1
35570,283258,638,-1
35571,283260,638,-1
35572,282684,638,-1
35573,282781,638,-1
35574,282737,638,-1
35575,283225,638,-1
36068,1384644,635,-1
36073,66675,635,-1
36086,232224,635,-1
36177,138508,635,-1
36178,138200,635,-1
36179,138201,635,-1
36180,137578,635,-1
36181,138199,635,-1
36182,138440,635,-1
36183,138439,635,-1
36184,138252,635,-1
36208,224564,635,-1
36209,225398,635,-1
36210,225394,635,-1
36222,146188,638,-1
36223,146799,638,-1
36224,145960,638,-1
36225,146681,638,-1
36226,146682,638,-1
36227,145221,638,-1
36228,146642,638,-1
36229,146184,638,-1
36230,145988,638,-1
36508,184040,730,-1
36600,604940,532,-1
36601,605604,532,-1
36602,1633385,532,-1
36603,1633415,532,-1
36604,1633386,532,-1
36605,1633401,532,-1
36606,605554,532,-1
36607,604976,532,-1
36608,1633360,532,-1
36609,604871,532,-1
36610,1633387,532,-1
36611,604913,532,-1
36612,1633645,532,-1
36613,604927,532,-1
36614,1633416,532,-1
37324,25707,638,-1
37325,277634,638,-1
37326,277666,638,-1
37327,277485,638,-1
37339,102046,638,-1
37340,102390,638,-1
37341,101759,638,-1
37342,102045,638,-1
37343,101735,638,-1
37344,101858,638,-1
37345,102070,638,-1
37346,101921,638,-1
37347,102617,638,-1
37349,102072,638,-1
37350,102389,638,-1
37351,101857,638,-1
37353,101697,638,-1
37354,101922,638,-1
37502,38581,673,-1
37548,201862,635,-1
37800,7554,635,-1
37801,7076,635,-1
37802,7141,635,-1
37803,7411,635,-1
37804,7520,635,-1
37805,7412,635,-1
37806,7511,635,-1
37807,7142,635,-1
37808,7542,635,-1
37809,7143,635,-1
37810,7534,635,-1
37811,7442,635,-1
37862,55240,635,-1
37863,55912,635,-1
37878,42453,635,-1
37879,41485,635,-1
37880,8220,635,-1
37881,41813,635,-1
37882,8326,635,-1
37883,8323,635,-1
38255,3871,537,-1
38256,4109,537,-1
38257,3962,537,-1
38258,4128,537,-1
38308,453654,635,-1
38336,98886,635,-1
38540,8794,635,-1
38541,223893,635,-1
38542,8975,635,-1
38580,184438,635,-1
38581,183831,635,-1
38688,73646,635,-1
