cell_id,id_compuestos_actividad,activity
1,"[2580, 5105, 13590, 178357, 1148287]","[1, 1, -1, -1, 1]"
2,"[42503, 444713, 1337017]","[-1, -1, -1]"
3,"[5769, 16758, 16949, 103459, 287231, 446279, 2304079]","[-1, -1, -1, -1, 1, -1, 1]"
5,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56458, 56459, 56713, 62111, 68607, 71516, 75901, 78759, 78759, 88232, 119498, 151991, 152995, 183934, 194311, 194337, 194342, 195649, 291635, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1162276, 1178704, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101, 1967066, 2005315, 2005389]","[-1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1]"
7,"[68607, 1704201, 1704202]","[-1, -1, -1]"
9,[399526],[-1]
10,[29831],[-1]
11,[322288],[-1]
13,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
16,[29831],[-1]
19,"[16547, 16634]","[-1, -1]"
21,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 363404, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1]"
26,"[13633, 68607, 190171, 236838, 365281]","[-1, -1, -1, -1, -1]"
27,"[22942, 22943, 78759, 160849, 161022, 1143686, 1334185, 1568496, 1568498, 1568505]","[-1, -1, -1, -1, -1, 1, -1, -1, -1, 1]"
28,"[136087, 136438]","[-1, -1]"
29,"[160849, 161022]","[-1, -1]"
31,"[107431, 107508, 108296, 108327, 108902, 108946]","[-1, 1, 1, 1, 1, 1]"
32,[368538],[-1]
35,"[8633, 16592, 68607]","[-1, -1, -1]"
37,"[717, 923, 2080, 5268, 8062, 8633, 11501, 13048, 13590, 14440, 14785, 14805, 36237, 56713, 68607, 75901, 78520, 78759, 88797, 99755, 119498, 151991, 152995, 187372, 276734, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 427010, 436277, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 623658, 630975, 649637, 705446, 1379628, 1416020, 1540172, 1797457, 1797457, 1840420, 1840421, 2014388, 2014425, 2083644, 2231539, 2329819, 2382249]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1, -1, 1, 1]"
38,"[717, 923, 2080, 2208, 5105, 5268, 8062, 8633, 11305, 13048, 13590, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 78759, 88232, 88797, 99755, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 470511, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
39,"[717, 2208, 5105, 5268, 5295, 5985, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 368538, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1344285, 1344392, 1348359, 1376145, 1379628, 1449226, 1540172, 1797953, 1927101, 2200045]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
42,"[8633, 29325, 29325, 49931, 51182, 78759, 142860, 180615, 219568, 220383, 261197, 261458, 417248, 2321925, 2332530]","[-1, -1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1]"
43,"[27307, 76862, 82983, 94364, 154407, 233915, 235138, 235175, 1510521]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
44,[63279],[1]
45,"[3859, 8633, 14440, 16592, 49931, 68607, 75901, 96159, 364693, 368538, 2355411]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]"
46,"[51182, 78759, 457363, 1376110]","[-1, -1, -1, 1]"
48,[5371],[-1]
50,"[27307, 166091]","[-1, -1]"
53,"[13590, 14529, 78759, 128914, 246935, 470511, 508470, 509122, 528559, 715025, 1179716, 1180204, 1220034, 1512419, 1561031, 1576964, 1623452, 1951263, 2204910, 2354047, 2423265]","[-1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 1, -1, -1]"
54,"[1214046, 1763587, 2470081]","[-1, -1, -1]"
55,"[87293, 87712, 226708]","[1, -1, -1]"
56,[51182],[-1]
57,[1219],[-1]
