,compound_id,cell_id,active,prediccion
368,2503967,1747,-1,-1
369,2504571,308,-1,-1
370,2504571,726,-1,-1
371,2504571,721,-1,0
372,2504797,721,-1,-1
373,2505177,694,-1,1
374,2505210,440,1,0
375,2505687,588,1,1
376,2506265,646,-1,-1
377,2506449,439,-1,1
378,2506449,588,-1,0
379,2506449,646,-1,-1
380,2506449,5737,-1,-1
381,2506449,500,-1,-1
382,2506548,489,-1,-1
383,2508016,394,-1,-1
384,2508016,726,-1,-1
385,2508333,646,-1,-1
386,2508490,726,-1,-1
387,2508490,394,-1,-1
388,2509300,646,-1,-1
389,2510734,408,-1,-1
390,2510734,757,-1,-1
391,2510734,668,-1,-1
392,2510734,491,-1,1
393,2510734,655,-1,-1
394,2510734,641,-1,-1
395,2511012,5544,-1,-1
396,2511012,646,-1,1
397,2511323,408,-1,-1
398,2511745,1732,-1,-1
399,2511951,308,-1,-1
400,2511951,721,-1,-1
401,2511951,726,-1,-1
402,2512020,555,-1,-1
403,2512020,786,-1,-1
404,2512020,646,-1,-1
405,2512589,455,-1,1
406,2512995,491,-1,-1
407,2513007,491,-1,1
408,2513007,763,-1,1
409,2513007,721,-1,0
410,2513007,293,-1,1
411,2513007,158,-1,1
412,2513007,701,-1,1
413,2513007,646,-1,0
414,2513007,600,1,1
415,2513007,306,-1,-1
416,2513007,786,-1,1
417,2513007,341,-1,1
418,2513007,690,-1,1
419,2513007,730,1,1
420,2513007,606,1,1
421,2513007,747,-1,1
422,2513007,335,1,1
423,2513007,493,-1,-1
424,2513007,757,-1,1
425,2513007,471,-1,1
426,2513007,486,-1,1
427,2513007,547,-1,1
428,2513007,770,-1,1
429,2513007,451,-1,1
430,2513007,325,-1,0
431,2513007,626,-1,-1
432,2513007,667,-1,1
433,2513007,533,-1,-1
434,2513007,512,-1,1
435,2513007,548,-1,1
436,2513007,676,-1,1
437,2513007,589,-1,-1
438,2513007,408,-1,1
439,2513007,53,-1,1
440,2513007,590,-1,-1
441,2513007,555,-1,-1
442,2513501,646,-1,-1
443,2513818,5553,-1,-1
444,2514251,757,-1,1
445,2514251,512,-1,1
446,2514251,493,-1,1
447,2514251,306,-1,-1
448,2514251,721,-1,1
449,2514251,763,-1,1
450,2514251,547,-1,1
451,2514251,701,-1,1
452,2514251,730,-1,1
453,2514251,486,-1,1
454,2514251,626,-1,-1
455,2514251,690,-1,1
456,2514251,548,-1,1
457,2514251,667,-1,1
458,2514251,341,-1,1
459,2514251,676,-1,1
460,2514251,600,-1,1
461,2514251,451,-1,1
462,2514251,606,-1,1
463,2514251,335,-1,-1
464,2514251,786,-1,1
465,2514251,533,-1,-1
466,2514251,646,-1,1
467,2514251,293,-1,1
468,2514251,53,-1,1
469,2514251,408,-1,1
470,2514251,491,-1,1
471,2514251,747,-1,1
472,2514251,590,-1,1
473,2514251,325,-1,1
474,2514251,555,-1,1
475,2514251,589,-1,1
476,2514251,770,-1,1
477,2514251,158,-1,1
478,2514251,471,-1,1
479,2515280,440,-1,-1
480,2515671,646,-1,-1
481,2515757,655,-1,-1
482,2516022,635,-1,-1
483,2516057,726,-1,-1
484,2516057,646,-1,-1
485,2520030,687,-1,1
486,2520030,726,-1,-1
487,2520030,325,-1,-1
488,2520538,630,-1,-1
489,2520538,491,-1,-1
490,2520538,325,-1,-1
491,2520704,635,-1,1
492,2520967,694,-1,1
493,2520967,646,-1,-1
494,2521949,500,-1,-1
495,2521949,588,-1,-1
496,2522370,635,-1,1
497,2522826,308,-1,-1
498,2523722,457,-1,-1
499,2523722,308,-1,1
500,2523877,635,-1,-1
501,2525471,5673,-1,-1
502,2525571,655,-1,-1
503,2525635,308,-1,1
504,2525960,786,-1,1
505,2525960,306,-1,-1
506,2525960,770,-1,1
507,2525960,451,-1,1
508,2525960,667,-1,1
509,2525960,676,-1,1
510,2525960,325,-1,0
511,2525960,491,-1,1
512,2525960,646,-1,0
513,2525960,763,-1,1
514,2525960,701,-1,1
515,2525960,690,-1,1
516,2525960,600,-1,1
517,2525960,486,-1,1
518,2525960,533,-1,-1
519,2525960,721,-1,0
520,2525960,408,-1,1
521,2525960,471,-1,1
522,2525960,730,-1,1
523,2525960,589,-1,-1
524,2525960,555,-1,-1
525,2525960,590,-1,-1
526,2525960,493,-1,-1
527,2525960,335,-1,1
528,2525960,293,-1,1
529,2525960,626,-1,-1
530,2525960,548,-1,1
531,2525960,547,-1,1
532,2525960,747,-1,1
533,2525960,606,-1,1
534,2525960,341,-1,1
535,2525960,512,-1,1
536,2525960,53,-1,1
537,2525960,757,-1,1
538,2525960,158,-1,1
539,2527053,308,-1,-1
540,2527187,491,-1,-1
541,2527246,500,-1,-1
542,2527451,661,-1,-1
543,2527451,660,-1,-1
544,2527573,522,-1,-1
545,2527792,408,-1,1
546,2527792,1747,1,-1
547,2527898,721,-1,-1
548,2528067,726,-1,-1
549,2528067,394,-1,-1
550,2528363,325,-1,0
551,2528363,646,-1,0
552,2528374,646,-1,-1
553,2529954,559,-1,-1
554,2529954,773,-1,-1
555,2529954,741,-1,-1
556,2530574,646,-1,1
557,2530574,693,1,-1
558,2530574,491,-1,1
559,2531529,325,-1,-1
560,2531529,583,-1,-1
561,2531673,646,-1,0
562,2531673,641,-1,-1
563,2531673,721,1,0
564,2531673,308,-1,0
565,2531673,693,-1,-1
566,2532569,308,-1,-1
567,2533175,457,-1,-1
568,2533175,308,-1,1
569,2534204,522,-1,-1
570,2534859,308,-1,-1
571,2534954,721,-1,-1
572,2535272,721,-1,1
573,2535272,726,-1,-1
574,2536552,721,-1,-1
575,2536628,588,-1,-1
576,2536628,500,-1,-1
577,2536855,757,1,-1
578,2536855,308,1,1
579,2536958,588,-1,-1
580,2537014,786,-1,-1
581,2537014,491,-1,-1
582,2537014,646,-1,-1
583,2537014,555,-1,-1
