smiles,pref_name,id_29,top3_29
Oc1cnnc2nc3ccccc3n12,,2443,
Cc1nnc2nc3ccccc3n2c1O,,2444,
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,SULFISOXAZOLE,2484,
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,SULFAMETHOXYPYRIDAZINE,2516,
CC(=O)NS(=O)(=O)c1ccc(N)cc1,SULFACETAMIDE,2525,
CCCCCCCCCCCCC#CC#CCCCCCCCCC(=O)NCCO,,2605,
COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(CCCC6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,,2814,
COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(CCC6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,,2815,
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,TYRPHOSTIN AG-1478,2866,
CCCC(=O)Nc1ccc(Oc2cccc(OC)c2)cc1,,2893,
COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(CC6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,,2964,
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,GEMFIBROZIL,2994,
CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CCSC)OC(=O)[C@H]1C,,3037,
NCCCC[C@H](N)C(=O)O,LYSINE,3059,
CC(=N)NCCCC[C@H](N)C(=O)O,L-NIL,3097,
COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],L-NAME,3098,
O=C1OC(=O)C2C3CCC(O3)C12,DEMETHYL-CANTHARIDIN,3133,
CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)OC(=O)[C@H]1C,,3148,
CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)OC(=O)[C@H]1C,,3237,
