cell_id,id_compuestos_actividad
1,"[2580, 5105, 13590, 178357, 1148287]"
3,"[16758, 16949, 103459, 287231, 446279, 2304079]"
5,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56458, 56459, 56713, 62111, 68607, 71516, 75901, 78759, 78759, 88232, 119498, 151991, 152995, 183934, 194311, 194337, 194342, 195649, 291635, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1162276, 1178704, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101, 1967066, 2005315, 2005389]"
7,"[68607, 1704201, 1704202]"
11,[322288]
13,"[717, 2208, 5105, 5268, 11305, 13590, 49931, 51182, 56713, 62111, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]"
19,[16547]
21,"[717, 2208, 5105, 5268, 8633, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 363404, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]"
26,"[13633, 68607, 236838, 365281]"
27,"[22942, 22943, 78759, 160849, 161022, 1143686, 1334185, 1568498, 1568505]"
28,"[136087, 136438]"
29,"[160849, 161022]"
31,"[107431, 107508, 108296, 108327, 108902, 108946]"
32,[368538]
35,"[8633, 16592, 68607]"
37,"[717, 923, 2080, 5268, 8062, 8633, 13048, 13590, 14440, 14785, 14805, 56713, 68607, 75901, 78520, 78759, 119498, 151991, 152995, 187372, 276734, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 427010, 436277, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 623658, 630975, 705446, 1379628, 1416020, 1540172, 1840420, 1840421, 2014388, 2014425, 2083644, 2231539, 2329819, 2382249]"
